Date	Time	Severity	PID	TID	Function	Message
03-04-2026	23:09:16.806	 INFO	 49788	 52800	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2026	23:09:16.807	 INFO	 49788	 52800	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2026	23:09:16.814	ERROR	 49788	 52800	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2026	23:09:16.815	 INFO	 49788	 52800	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 37904531
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2026	23:09:16.816	 INFO	 49788	 52800	LateInitialization	"Intialization finished"
03-04-2026	23:09:17.978	 INFO	 55576	 38612	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2026	23:09:17.981	 INFO	 55576	 38612	DllMain	"PROCESS ATTACHED"
03-04-2026	23:09:17.983	 INFO	 55576	 40248	LateInitialization	"Intialization..."
03-04-2026	23:09:17.985	 INFO	 55576	 40248	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2026	23:09:17.986	 INFO	 55576	 40248	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2026	23:09:17.988	 INFO	 55576	 40248	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-04-2026	23:09:17.989	 INFO	 55576	 40248	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2026	23:09:17.990	 INFO	 55576	 40248	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2026	23:09:17.997	ERROR	 55576	 40248	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2026	23:09:17.999	 INFO	 55576	 40248	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 37905703
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2026	23:09:18.000	 INFO	 55576	 40248	LateInitialization	"Intialization finished"
